Neighborhood|Venue|Venue Latitude|Venue Longitude|Venue Category|Category Number
Granada Hills - Census Tract 109300|Burrito Factory|34.27163625311924|-118.48451991451368|Mexican Restaurant|1
Northridge - Census Tract 113301|Jamba Juice|34.242321|-118.559701|Juice Bar|23
Pacoima - Census Tract 104403|El Mero Mero|34.25838329400419|-118.4329760544559|Mexican Restaurant|1
Granada Hills - Census Tract 111301|Domino's Pizza|34.26449641581378|-118.51926863193512|Pizza Place|3
North Hills - Census Tract 109800|El Indio Azteca|34.257614|-118.48420143127441|Mexican Restaurant|1
Pacoima - Census Tract 104203|SUBWAY|34.274946364360815|-118.4123946784256|Sandwich Place|4
Chatsworth - Census Tract 113321|The Burrito Factory|34.25691976361168|-118.59206891036189|Mexican Restaurant|1
Tujunga - Census Tract 101300|The Pink Mango|34.24554624544157|-118.27529750750018|Frozen Yogurt Shop|21
Pacoima - Census Tract 104310|SUBWAY|34.27361290443622|-118.42593711182958|Sandwich Place|4
Pacoima - Census Tract 104810|El Patron|34.24707641399487|-118.41132703441944|Food Truck|8
Northridge - Census Tract 111205|Honeybaked Ham Cafe|34.25710412792294|-118.53768953715269|Breakfast Spot|16
Chatsworth - Census Tract 113213|SUBWAY|34.24950311825341|-118.60645563020687|Sandwich Place|4
Granada Hills - Census Tract 109300|Casa de Pizza|34.27222746172322|-118.48440568542723|Pizza Place|3
Granada Hills - Census Tract 111202|Ali Baba Persian Restaurant|34.265075690679346|-118.5157848388473|Middle Eastern Restaurant|18
Pacoima - Census Tract 104403|Domino's Pizza|34.25571123908318|-118.43663032462246|Pizza Place|3
Sunland - Census Tract 103102|El Pollo Loco|34.259794|-118.304629|Fast Food Restaurant|2
Sylmar - Census Tract 106604|Denny's|34.30305689832591|-118.47824022173882|Diner|20
Mission Hills - Census Tract 109603|Papa John's Pizza|34.25615858065909|-118.46783738212685|Pizza Place|3
Pacoima - Census Tract 104403|Popeyes Louisiana Kitchen|34.258353404890215|-118.4323851695081|Fried Chicken Joint|14
Northridge - Census Tract 111205|Tous Les Jours|34.256431771737375|-118.53700238406712|Bakery|15
Chatsworth - Census Tract 113321|Jose Antonio's Peruvian/Chinese Restaurant|34.25744388333333|-118.59040846666667|Chinese Restaurant|11
Sylmar - Census Tract 106408|Shakey's Pizza Parlor|34.314005109894154|-118.43974299200066|Pizza Place|3
Chatsworth - Census Tract 113212|My Thai|34.257075|-118.60224|Thai Restaurant|17
Sunland - Census Tract 103102|Taco Bell|34.25940903830101|-118.30462122785228|Fast Food Restaurant|2
Pacoima - Census Tract 104403|McDonald's|34.25769773010695|-118.43294374644756|Fast Food Restaurant|2
San Fernando - Census Tract 109500|Winchell's Donut House|34.27396374098047|-118.44339187550784|Donut Shop|13
Sunland - Census Tract 103102|McDonald's|34.259332526104444|-118.30636091910947|Fast Food Restaurant|2
Pacoima - Census Tract 104404|El indio tacos|34.26431866666667|-118.42468321323395|Taco Place|25
Granada Hills - Census Tract 111100|Panda Express|34.27120789761264|-118.49878820484675|Chinese Restaurant|11
Pacoima - Census Tract 104821|Golfo de Fonseca Restaurant|34.246967866666665|-118.41998|Restaurant|9
Northridge - Census Tract 111205|Pizza Hut|34.25652249992253|-118.53727378766052|Pizza Place|3
Pacoima - Census Tract 104822|Wong's Kitchen|34.246578938280884|-118.42099675103847|Chinese Restaurant|11
Pacoima - Census Tract 104822|Raspado Xpress|34.24711963467974|-118.42001045267054|Dessert Shop|40
Pacoima - Census Tract 104810|Sandy's Lonchera|34.25390371666667|-118.40839684009552|Taco Place|25
Pacoima - Census Tract 104403|Pizza Hut|34.258369169529004|-118.43206816236489|Pizza Place|3
Chatsworth - Census Tract 113321|Omino Sushi|34.25767832876871|-118.59051626732284|Japanese Restaurant|30
Granada Hills - Census Tract 111100|Starbucks|34.27115928160373|-118.49880124676828|Coffee Shop|5
Chatsworth - Census Tract 113213|Teriyaki Plus|34.25071028897836|-118.6063294537064|Japanese Restaurant|30
Pacoima - Census Tract 104108|Louisiana Fried Chicken|34.275869|-118.39699|American Restaurant|7
Northridge - Census Tract 111205|Coco's Bakery Restaurant|34.25744848878126|-118.5372565479187|American Restaurant|7
Pacoima - Census Tract 104320|Tacos El Gordo|34.277289324393266|-118.42075985336442|Mexican Restaurant|1
Sylmar - Census Tract 106407|Caruso's Italian Food|34.30951625786369|-118.4323835931503|Pizza Place|3
Pacoima - Census Tract 104610|Mend|34.26311371786306|-118.4194765815373|Restaurant|9
Sylmar - Census Tract 106649|Ramona's Kitchen|34.28758053486224|-118.45829527939235|Mexican Restaurant|1
Sylmar - Census Tract 106407|KFC|34.312425557954946|-118.43699749975173|Fast Food Restaurant|2
Sylmar - Census Tract 106407|KFC|34.31231971350572|-118.43699393559933|Fried Chicken Joint|14
Canoga Park - Census Tract 113234|Starbucks|34.228073336748835|-118.59040107021163|Coffee Shop|5
Pacoima - Census Tract 104822|Lil Morenos fruit stand|34.243665855150375|-118.42093395525444|Food Truck|8
Tujunga - Census Tract 101210|Domino's Pizza|34.24894931259804|-118.2888996165002|Pizza Place|3
Chatsworth - Census Tract 113321|Thai Valley Restaurant|34.256855737543844|-118.59183389960386|Thai Restaurant|17
Pacoima - Census Tract 104201|Fresh & Ready Foods|34.28919850102377|-118.41905808608527|Sandwich Place|4
Pacoima - Census Tract 104310|Panda Express|34.27352834444866|-118.42595176066088|Chinese Restaurant|11
Granada Hills - Census Tract 111202|Priscilla's Mexican Food Taco Truck|34.267517699370146|-118.51189266147607|Food Truck|8
Tujunga - Census Tract 101210|Commerce Corner Cafe|34.24936830997467|-118.2886565|Café|22
Sun Valley - Census Tract 102105|Good Burger|34.212229825748715|-118.34830932863325|Burger Joint|6
Tujunga - Census Tract 101210|Leos Pizza|34.25367030338437|-118.29697735080785|Italian Restaurant|31
Pacoima - Census Tract 104822|Baskin-Robbins|34.2439584|-118.42304706573486|Ice Cream Shop|28
Pacoima - Census Tract 104203|Little Caesars Pizza|34.274853|-118.41089996666666|Pizza Place|3
Sylmar - Census Tract 106010|Olive View Cafe|34.32657994464809|-118.44680257422074|Food|12
Sylmar - Census Tract 106408|Mi Rincon Tapatio|34.313185344030515|-118.43728270495191|Mexican Restaurant|1
Pacoima - Census Tract 104701|La Cocinita Restaurante Familiar|34.26747603834248|-118.41991852298705|Food|12
Pacoima - Census Tract 104500|Tacos Garibaldi|34.25230264663696|-118.42569172382355|Mexican Restaurant|1
Sylmar - Census Tract 106407|Raspado Xpress|34.30949902007678|-118.43372330907887|Snack Place|29
Pacoima - Census Tract 104403|Birrieria Rosa Maria|34.25983739617436|-118.43080842667383|Mexican Restaurant|1
Pacoima - Census Tract 104500|La Pizza Loca|34.256162810237434|-118.42941656660891|Pizza Place|3
Sylmar - Census Tract 106020|El Jayamitla|34.31796312332054|-118.42437744140281|Mexican Restaurant|1
Pacoima - Census Tract 104203|Wingstop|34.27548847661703|-118.4114117534226|Wings Joint|26
Porter Ranch - Census Tract 108201|Pömmy's Kitchen|34.284952|-118.557792|Soup Place|34
Tujunga - Census Tract 101210|Olde Towne's Comfort & Joy Cafe|34.250920881498175|-118.2884996484561|Restaurant|9
Sylmar - Census Tract 106010|The Ranch|34.323874875063716|-118.44946051115978|Bakery|15
Granada Hills - Census Tract 109300|Guido's Pizza & Pasta|34.271590468115356|-118.48458577054488|Pizza Place|3
Sylmar - Census Tract 106406|Winner's|34.32421944207583|-118.45998917417378|American Restaurant|7
Sylmar - Census Tract 106407|Sylmar's Fix|34.308772941301186|-118.43468331817313|Sandwich Place|4
Sunland - Census Tract 103101|Franco's Italiano Deli|34.272869|-118.303262|Deli / Bodega|44
Pacoima - Census Tract 104403|Carnitas Loya|34.259552001953125|-118.43254089355469|Mexican Restaurant|1
Sylmar - Census Tract 106648|The Seven|34.296438|-118.455465|Wine Bar|38
Chatsworth - Census Tract 113212|Tawakal Halal Meat and Deli|34.257620673894856|-118.60090361932686|Food|12
Pacoima - Census Tract 104310|El Puerquito Express|34.27424|-118.430735|Food|12
Pacoima - Census Tract 104821|Pizza Loca|34.248148552401034|-118.42002120742954|Pizza Place|3
Sylmar - Census Tract 106020|Guayaba kitchen|34.318841|-118.433141|Mexican Restaurant|1
Pacoima - Census Tract 104701|Myke's Cafe|34.26785857711882|-118.42000598402944|Breakfast Spot|16
Mission Hills - Census Tract 109603|Jenny's Thai Restaurant|34.2563361540689|-118.46783675742086|Thai Restaurant|17
Chatsworth - Census Tract 113322|Robecks|34.249259947493435|-118.57006078583886|Juice Bar|23
Sylmar - Census Tract 106648|Sam's Donuts and Coffee|34.29635895051381|-118.45572303576024|Donut Shop|13
Pacoima - Census Tract 104108|Los Compadres|34.27494577122879|-118.39644776859757|Mexican Restaurant|1
Granada Hills - Census Tract 111100|Wake n Bake Wagon|34.26747662915559|-118.4930993449843|Food Truck|8
Sunland - Census Tract 103102|Code Blue Cafe & Restaurant|34.25992155406827|-118.30630232846622|Café|22
Pacoima - Census Tract 104821|target snack bar|34.24556942381536|-118.41925677728752|Snack Place|29
Northridge - Census Tract 113301|Yard House|34.240889395455895|-118.55648638908988|American Restaurant|7
Tujunga - Census Tract 101220|Mini Garden Cafe|34.247977|-118.282262|Café|22
Pacoima - Census Tract 104403|Long John Silvers|34.258887|-118.431539|Fast Food Restaurant|2
Granada Hills - Census Tract 111400|O. Tofu House Korean BBQ|34.256770075175815|-118.50035166797927|Korean Restaurant|19
Chatsworth - Census Tract 113212|Pho Saigon 1|34.25744505654754|-118.60214348395023|Vietnamese Restaurant|42
Mission Hills - Census Tract 109400|SUBWAY|34.26713397028967|-118.45929907097842|Sandwich Place|4
Sylmar - Census Tract 106408|Gabby's Kitchen|34.31153106689453|-118.435302734375|Mexican Restaurant|1
Northridge - Census Tract 113301|Which Wich? Superior Sandwiches|34.24140445294555|-118.55909187195938|Sandwich Place|4
Chatsworth - Census Tract 113321|Waffles De Liege|34.249921873602624|-118.59237854169533|Food Truck|8
Northridge - Census Tract 113301|Corner Bakery Cafe|34.242314|-118.558696|Bakery|15
Pacoima - Census Tract 104404|Antonio`s tacos & KABOB|34.26025974609019|-118.42955917575631|Middle Eastern Restaurant|18
Tujunga - Census Tract 101300|Church's Chicken|34.24664|-118.275307|Fried Chicken Joint|14
Chatsworth - Census Tract 113213|amazing siam thai restaurant|34.249595676025166|-118.60633413441977|Asian Restaurant|27
North Hills - Census Tract 109800|Mercado Buenos Aires|34.2576400674385|-118.48403393644126|Argentinian Restaurant|36
Pacoima - Census Tract 104108|Fatburger & Buffalo's Express|34.275868250786154|-118.39697672967895|Burger Joint|6
Northridge - Census Tract 113301|Freshii|34.2421116|-118.5589056|Restaurant|9
Tujunga - Census Tract 101220|Mante House|34.247746|-118.281283|Middle Eastern Restaurant|18
Chatsworth - Census Tract 113321|Hikari Sushi|34.257038398477825|-118.5948764692224|Sushi Restaurant|10
Northridge - Census Tract 111205|Hook'd Fish Grill|34.2558968710225|-118.53540618576959|Fish & Chips Shop|35
Tujunga - Census Tract 101300|IHOP|34.24552831269153|-118.27502179984297|Breakfast Spot|16
Northridge - Census Tract 111205|Gen Korean BBQ House|34.25514584702287|-118.53714194385309|Korean Restaurant|19
Sylmar - Census Tract 106406|Fast n Fresh|34.3243|-118.460045|Mexican Restaurant|1
Northridge - Census Tract 113301|The Stand|34.2423104|-118.5613079|Burger Joint|6
Pacoima - Census Tract 104404|Cafe O Muerte|34.262035|-118.427416|Coffee Shop|5
Sylmar - Census Tract 106408|Mamá Licha's Kitchen|34.311347|-118.435335|Mexican Restaurant|1
Pacoima - Census Tract 104320|Pan Am Experience|34.27418728936213|-118.42239260673524|American Restaurant|7
Granada Hills - Census Tract 109300|House Roots Coffee|34.27212962483802|-118.48431676489214|Coffee Shop|5
Granada Hills - Census Tract 111400|Panera Bread|34.25673466816965|-118.4993822001623|Bakery|15
Tujunga - Census Tract 101300|Corner Grill|34.246506|-118.275315|Asian Restaurant|27
Tujunga - Census Tract 101110|Albert's Plumbing|34.26099705176994|-118.2888160321454|Dutch Restaurant|39
Chatsworth - Census Tract 113321|Triple Threat Truck|34.24926745620701|-118.59246402263028|Food Truck|8
Mission Hills - Census Tract 109604|Jersey Mike's Subs|34.25917110772241|-118.46654676334|Sandwich Place|4
Mission Hills - Census Tract 109604|Starbucks|34.258426859981775|-118.46654176712035|Coffee Shop|5
Mission Hills - Census Tract 109604|Dunkin'|34.260716415909926|-118.46694656779096|Donut Shop|13
Mission Hills - Census Tract 109604|The Habit Burger Grill|34.25911558824541|-118.46646881366964|Burger Joint|6
Mission Hills - Census Tract 109604|Chipotle Mexican Grill|34.25942|-118.4665907|Mexican Restaurant|1
Mission Hills - Census Tract 109604|Wingstop|34.259761|-118.466451|Wings Joint|26
Mission Hills - Census Tract 109604|menchies|34.25924|-118.46637|Frozen Yogurt Shop|21
Northridge - Census Tract 111205|Chick-fil-A|34.2575613|-118.5373977|Fast Food Restaurant|2
Chatsworth - Census Tract 113321|Mutsumi|34.257239|-118.590406|Diner|20
Tujunga - Census Tract 101210|Chicks N Cow|34.24945|-118.289356|Fried Chicken Joint|14
Panorama City - Census Tract 120030|HomeTown Buffet|34.21396809598919|-118.44767753065615|Buffet|43
